prompt_num,prompt,eesd_time_s,ar_time_s,acceptance_rate,tokens_accepted,tokens_total,speedup
1,भारत एक विविध देश है जहाँ कई भाषाएँ बोली जाती हैं।,6.99,3.37,0.660,101,153,0.48
2,हिंदी भारत की राजभाषा है और इसे करोड़ों लोग बोलते हैं।,7.35,3.37,0.642,102,159,0.46
3,दिल्ली भारत की राजधानी है और यह एक ऐतिहासिक शहर है।,7.75,3.38,0.601,101,168,0.44
4,ताजमहल आगरा में स्थित है और यह विश्व के सात अजूबों में से एक है।,7.12,3.35,0.641,100,156,0.47
5,गंगा नदी भारत की सबसे पवित्र नदी मानी जाती है।,8.41,3.36,0.552,101,183,0.40
6,भारत में लोकतंत्र की जड़ें बहुत गहरी हैं।,7.43,3.34,0.617,100,162,0.45
7,हिमालय पर्वत भारत की उत्तरी सीमा पर स्थित है।,7.14,3.44,0.641,100,156,0.48
8,भारतीय संविधान विश्व का सबसे लंबा लिखित संविधान है।,7.69,3.41,0.601,101,168,0.44
9,महात्मा गांधी को भारत का राष्ट्रपिता कहा जाता है।,7.43,3.35,0.623,101,162,0.45
10,भारत में अनेक धर्मों के लोग मिलजुल कर रहते हैं।,7.63,3.39,0.606,100,165,0.44
11,कृषि भारतीय अर्थव्यवस्था की रीढ़ है।,6.43,3.33,0.725,100,138,0.52
12,भारत में रेलवे नेटवर्क दुनिया के सबसे बड़े नेटवर्कों में से एक है।,7.78,3.35,0.595,100,168,0.43
13,योग और ध्यान की परंपरा भारत में हजारों वर्ष पुरानी है।,7.55,3.37,0.612,101,165,0.45
14,भारतीय खाना अपने मसालों और स्वाद के लिए दुनिया भर में प्रसिद्ध है।,7.62,3.45,0.606,100,165,0.45
15,चाय भारत में सबसे लोकप्रिय पेय पदार्थ है।,6.18,3.41,0.741,100,135,0.55
16,भारत का अंतरिक्ष कार्यक्रम तेजी से विकसित हो रहा है।,6.97,3.38,0.654,100,153,0.48
17,बॉलीवुड दुनिया का सबसे बड़ा फिल्म उद्योग है।,6.78,3.36,0.694,102,147,0.50
18,क्रिकेट भारत में सबसे लोकप्रिय खेल है।,6.64,3.29,0.701,101,144,0.50
19,भारत में शिक्षा का स्तर लगातार बढ़ रहा है।,7.05,3.40,0.654,100,153,0.48
20,कंप्यूटर विज्ञान आज के युग का सबसे महत्वपूर्ण विषय बन गया है।,6.79,3.45,0.680,100,147,0.51
21,मुंबई को भारत की आर्थिक राजधानी कहा जाता है।,6.75,3.34,0.694,102,147,0.49
22,वाराणसी दुनिया के सबसे पुराने शहरों में से एक है।,8.04,3.37,0.575,100,174,0.42
23,भारतीय शास्त्रीय संगीत की परंपरा बहुत समृद्ध है।,7.53,3.36,0.617,100,162,0.45
24,दीपावली भारत का सबसे बड़ा त्योहार है।,7.25,3.37,0.654,102,156,0.46
25,होली रंगों का त्योहार है जो पूरे भारत में मनाया जाता है।,7.23,3.40,0.647,101,156,0.47
26,राजस्थान अपने किलों और महलों के लिए प्रसिद्ध है।,7.18,3.45,0.641,100,156,0.48
27,केरल को भगवान का अपना देश कहा जाता है।,6.86,3.43,0.673,101,150,0.50
28,गोवा अपने समुद्र तटों के लिए विश्व प्रसिद्ध है।,8.13,3.36,0.571,101,177,0.41
29,भारत में सूचना प्रौद्योगिकी क्षेत्र में क्रांति आई है।,7.27,3.36,0.629,100,159,0.46
30,आयुर्वेद भारत की प्राचीन चिकित्सा पद्धति है।,7.27,3.34,0.629,100,159,0.46
31,भारत के ग्रामीण क्षेत्रों में विकास तेजी से हो रहा है।,6.37,3.35,0.739,102,138,0.53
32,नदियों का जल प्रदूषण एक गंभीर समस्या बन चुका है।,8.27,3.36,0.567,102,180,0.41
33,भारत में जनसंख्या वृद्धि एक बड़ी चुनौती है।,7.10,3.38,0.641,100,156,0.48
34,सौर ऊर्जा भविष्य की ऊर्जा का प्रमुख स्रोत है।,6.99,3.35,0.654,100,153,0.48
35,भारतीय सेना विश्व की सबसे शक्तिशाली सेनाओं में से एक है।,6.45,3.36,0.716,101,141,0.52
36,पर्यावरण संरक्षण आज के समय की सबसे बड़ी आवश्यकता है।,6.39,3.34,0.716,101,141,0.52
37,भारत में डिजिटल भुगतान का चलन तेजी से बढ़ा है।,6.69,3.33,0.680,100,147,0.50
38,स्वच्छ भारत अभियान ने देश में स्वच्छता के प्रति जागरूकता बढ़ाई है।,7.65,3.37,0.601,101,168,0.44
39,भारत का संविधान सभी नागरिकों को समान अधिकार प्रदान करता है।,6.43,3.33,0.709,100,141,0.52
40,प्राचीन भारत में गणित और विज्ञान में महत्वपूर्ण खोजें हुई थीं।,8.55,3.34,0.534,101,189,0.39
41,शून्य की खोज भारत की दुनिया को सबसे बड़ी देन है।,6.39,3.32,0.709,100,141,0.52
42,भारत में महिला सशक्तिकरण के लिए कई योजनाएँ चलाई जा रही हैं।,7.46,3.34,0.630,102,162,0.45
43,बच्चों की शिक्षा किसी भी राष्ट्र के विकास की नींव है।,6.31,3.35,0.725,100,138,0.53
44,प्रदूषण से बचने के लिए हमें पेड़ लगाने चाहिए।,7.54,3.36,0.612,101,165,0.45
45,इंटरनेट ने दुनिया को एक गाँव में बदल दिया है।,6.57,3.36,0.694,100,144,0.51
46,कृत्रिम बुद्धिमत्ता भविष्य की तकनीक का आधार है।,6.59,3.34,0.694,100,144,0.51
47,मोबाइल फोन ने संचार के तरीके को पूरी तरह बदल दिया है।,7.60,3.33,0.601,101,168,0.44
48,किसान देश की अर्थव्यवस्था में महत्वपूर्ण भूमिका निभाते हैं।,7.25,3.34,0.642,102,159,0.46
49,स्वास्थ्य सबसे बड़ा धन है इसलिए इसकी रक्षा करनी चाहिए।,6.76,3.38,0.680,100,147,0.50
50,पुस्तकें ज्ञान का सबसे अच्छा स्रोत हैं।,7.28,3.35,0.642,102,159,0.46
51,हिंदी साहित्य में कई महान लेखकों ने योगदान दिया है।,7.66,3.38,0.601,101,168,0.44
52,प्रेमचंद हिंदी साहित्य के सबसे प्रसिद्ध लेखकों में से एक हैं।,6.85,3.36,0.667,100,150,0.49
53,भारतीय नृत्य कलाएँ अपनी विविधता के लिए जानी जाती हैं।,6.82,3.37,0.673,101,150,0.49
54,भरतनाट्यम दक्षिण भारत की प्रमुख शास्त्रीय नृत्य शैली है।,7.36,3.37,0.617,100,162,0.46
55,कथक उत्तर भारत की प्रसिद्ध शास्त्रीय नृत्य शैली है।,7.24,3.34,0.629,100,159,0.46
56,भारत में विभिन्न राज्यों की अपनी अलग संस्कृति और परंपरा है।,7.38,3.36,0.617,100,162,0.46
57,तमिलनाडु अपने मंदिरों और संस्कृति के लिए प्रसिद्ध है।,6.68,3.38,0.694,102,147,0.51
58,कश्मीर को धरती का स्वर्ग कहा जाता है।,7.72,3.41,0.595,100,168,0.44
59,लद्दाख की प्राकृतिक सुंदरता पर्यटकों को आकर्षित करती है।,6.62,3.34,0.701,101,144,0.51
60,असम अपनी चाय बागानों और प्राकृतिक सौंदर्य के लिए जाना जाता है।,7.02,3.35,0.654,100,153,0.48
61,बंगाल अपनी कला और साहित्य की परंपरा के लिए विख्यात है।,8.10,3.33,0.571,101,177,0.41
62,रवींद्रनाथ टैगोर ने भारत को नोबेल पुरस्कार दिलाया था।,7.50,3.27,0.606,100,165,0.44
63,भारत में चुनाव लोकतंत्र का सबसे बड़ा उत्सव है।,6.73,3.32,0.680,102,150,0.49
64,गणतंत्र दिवस हर साल छब्बीस जनवरी को मनाया जाता है।,7.35,3.37,0.630,102,162,0.46
65,स्वतंत्रता दिवस पंद्रह अगस्त को पूरे देश में मनाया जाता है।,7.08,3.34,0.641,100,156,0.47
66,भारतीय रुपया देश की आधिकारिक मुद्रा है।,6.90,3.33,0.660,101,153,0.48
