prompt_num,prompt,eesd_time_s,ar_time_s,acceptance_rate,tokens_accepted,tokens_total,speedup
1,भारत एक विविध देश है जहाँ कई भाषाएँ बोली जाती हैं।,8.57,3.45,0.575,100,174,0.4
2,हिंदी भारत की राजभाषा है और इसे करोड़ों लोग बोलते हैं।,9.15,3.29,0.502,101,201,0.36
3,दिल्ली भारत की राजधानी है और यह एक ऐतिहासिक शहर है।,7.71,3.4,0.595,100,168,0.44
4,ताजमहल आगरा में स्थित है और यह विश्व के सात अजूबों में से एक है।,10.13,3.32,0.45,100,222,0.33
5,गंगा नदी भारत की सबसे पवित्र नदी मानी जाती है।,9.98,3.3,0.457,100,219,0.33
6,भारत में लोकतंत्र की जड़ें बहुत गहरी हैं।,8.06,3.31,0.565,100,177,0.41
7,हिमालय पर्वत भारत की उत्तरी सीमा पर स्थित है।,8.55,3.3,0.529,100,189,0.39
8,भारतीय संविधान विश्व का सबसे लंबा लिखित संविधान है।,9.1,3.31,0.507,102,201,0.36
9,महात्मा गांधी को भारत का राष्ट्रपिता कहा जाता है।,7.09,3.33,0.647,101,156,0.47
10,भारत में अनेक धर्मों के लोग मिलजुल कर रहते हैं।,8.27,3.35,0.552,101,183,0.41
11,कृषि भारतीय अर्थव्यवस्था की रीढ़ है।,7.89,3.33,0.575,100,174,0.42
12,भारत में रेलवे नेटवर्क दुनिया के सबसे बड़े नेटवर्कों में से एक है।,8.47,3.32,0.543,101,186,0.39
13,योग और ध्यान की परंपरा भारत में हजारों वर्ष पुरानी है।,8.44,3.33,0.543,101,186,0.39
14,भारतीय खाना अपने मसालों और स्वाद के लिए दुनिया भर में प्रसिद्ध है।,7.74,3.32,0.591,101,171,0.43
15,चाय भारत में सबसे लोकप्रिय पेय पदार्थ है।,7.77,3.29,0.585,100,171,0.42
16,भारत का अंतरिक्ष कार्यक्रम तेजी से विकसित हो रहा है।,8.14,3.31,0.561,101,180,0.41
17,बॉलीवुड दुनिया का सबसे बड़ा फिल्म उद्योग है।,8.58,3.31,0.529,100,189,0.39
18,क्रिकेट भारत में सबसे लोकप्रिय खेल है।,7.77,3.3,0.585,100,171,0.42
19,भारत में शिक्षा का स्तर लगातार बढ़ रहा है।,7.62,3.32,0.595,100,168,0.44
20,कंप्यूटर विज्ञान आज के युग का सबसे महत्वपूर्ण विषय बन गया है।,8.21,3.38,0.561,101,180,0.41
21,मुंबई को भारत की आर्थिक राजधानी कहा जाता है।,8.02,3.35,0.565,100,177,0.42
